
GET /api/v1/get-user-details 200 305.521 ms [7/4/2026, 7:44:48 pm]
GET /api/v1/get-user-details 200 304.616 ms [7/4/2026, 7:44:48 pm]
GET /api/v1/get-regions-for-org 304 87.400 ms [7/4/2026, 7:45:20 pm]
GET /api/v1/get-regions-for-org 304 86.733 ms [7/4/2026, 7:45:20 pm]
GET /api/v1/get-regions-for-org 304 100.850 ms [7/4/2026, 7:45:25 pm]
GET /api/v1/get-regions-for-org 304 82.242 ms [7/4/2026, 7:45:25 pm]
GET /api/v1/get-vehicles?page=1&limit=4 200 437.705 ms [7/4/2026, 7:45:25 pm]
GET /api/v1/get-vehicles?page=1&limit=4 200 393.879 ms [7/4/2026, 7:45:25 pm]
GET /api/v1/get-user-details 200 1011.573 ms [7/4/2026, 7:45:26 pm]
GET /api/v1/get-user-details 200 281.821 ms [7/4/2026, 7:45:26 pm]
GET /api/v1/get-hotels?page=1&limit=4 304 305.687 ms [7/4/2026, 7:46:48 pm]
GET /api/v1/get-hotels?page=1&limit=4 304 317.273 ms [7/4/2026, 7:46:48 pm]
GET /api/v1/get-user-details 200 198.229 ms [7/4/2026, 7:46:56 pm]
GET /api/v1/get-user-details 200 205.013 ms [7/4/2026, 7:46:57 pm]
GET /api/v1/get-master-region?page=1&limit=5 200 184.154 ms [7/4/2026, 7:46:59 pm]
GET /api/v1/get-master-region?page=1&limit=5 304 161.267 ms [7/4/2026, 7:46:59 pm]
GET /api/v1/get-all-organization-for-super-admin 200 170.160 ms [7/4/2026, 7:47:11 pm]
GET /api/v1/get-all-organization-for-super-admin 304 230.804 ms [7/4/2026, 7:47:11 pm]
GET /api/v1/get-sub-regions?page=1&limit=5 200 281.727 ms [7/4/2026, 7:55:58 pm]
GET /api/v1/get-sub-regions?page=1&limit=5 304 255.376 ms [7/4/2026, 7:55:58 pm]
GET /api/v1/get-user-details 200 298.757 ms [7/4/2026, 8:09:41 pm]
GET /api/v1/get-user-details 200 245.781 ms [7/4/2026, 8:09:41 pm]
GET /api/v1/get-user-details - - ms [7/4/2026, 8:09:42 pm]
GET /api/v1/get-user-details - - ms [7/4/2026, 8:09:42 pm]
GET /api/v1/get-user-details 200 138.804 ms [7/4/2026, 8:09:43 pm]
GET /api/v1/get-user-details 200 167.585 ms [7/4/2026, 8:09:43 pm]
GET /api/v1/get-user-details 200 223.983 ms [7/4/2026, 8:09:43 pm]
GET /api/v1/get-user-details 200 222.479 ms [7/4/2026, 8:09:43 pm]
GET /api/v1/get-user-details 200 172.742 ms [7/4/2026, 8:09:54 pm]
GET /api/v1/get-user-details 200 155.476 ms [7/4/2026, 8:09:54 pm]
GET /api/v1/get-user-details - - ms [7/4/2026, 8:09:54 pm]
GET /api/v1/get-user-details 200 159.441 ms [7/4/2026, 8:09:55 pm]
GET /api/v1/get-user-details 200 147.093 ms [7/4/2026, 8:09:55 pm]
GET /api/v1/get-user-details 200 275.217 ms [7/4/2026, 8:09:55 pm]
GET /api/v1/get-user-details 200 235.679 ms [7/4/2026, 8:09:55 pm]
GET /api/v1/get-user-details 200 195.234 ms [7/4/2026, 8:10:42 pm]
GET /api/v1/get-user-details 200 150.315 ms [7/4/2026, 8:10:42 pm]
GET /api/v1/get-user-details 200 271.484 ms [7/4/2026, 8:10:42 pm]
GET /api/v1/get-user-details 200 301.830 ms [7/4/2026, 8:10:43 pm]
GET /api/v1/get-user-details 200 147.970 ms [7/4/2026, 8:10:52 pm]
GET /api/v1/get-user-details 200 167.085 ms [7/4/2026, 8:10:52 pm]
GET /api/v1/get-user-details 200 286.359 ms [7/4/2026, 8:10:52 pm]
GET /api/v1/get-user-details 200 238.491 ms [7/4/2026, 8:10:52 pm]
GET /api/v1/get-user-details 200 214.355 ms [7/4/2026, 8:10:57 pm]
GET /api/v1/get-user-details 200 144.579 ms [7/4/2026, 8:10:57 pm]
GET /api/v1/get-user-details 200 257.056 ms [7/4/2026, 8:10:57 pm]
GET /api/v1/get-user-details 200 216.052 ms [7/4/2026, 8:10:57 pm]
GET /api/v1/get-user-details 200 151.192 ms [7/4/2026, 8:11:02 pm]
GET /api/v1/get-user-details 200 210.874 ms [7/4/2026, 8:11:02 pm]
GET /api/v1/get-user-details 200 269.250 ms [7/4/2026, 8:11:02 pm]
GET /api/v1/get-user-details 200 334.883 ms [7/4/2026, 8:11:02 pm]
GET /api/v1/get-user-details 200 192.588 ms [7/4/2026, 8:11:13 pm]
GET /api/v1/get-user-details 200 157.567 ms [7/4/2026, 8:11:13 pm]
GET /api/v1/get-user-details 200 253.260 ms [7/4/2026, 8:11:13 pm]
GET /api/v1/get-user-details 200 241.613 ms [7/4/2026, 8:11:13 pm]
GET /api/v1/get-user-details 200 197.279 ms [7/4/2026, 8:11:17 pm]
GET /api/v1/get-user-details 200 172.506 ms [7/4/2026, 8:11:17 pm]
GET /api/v1/get-user-details 200 235.061 ms [7/4/2026, 8:11:17 pm]
GET /api/v1/get-user-details 200 318.351 ms [7/4/2026, 8:11:17 pm]
GET /api/v1/get-user-details 200 161.248 ms [7/4/2026, 8:11:32 pm]
GET /api/v1/get-user-details 200 197.508 ms [7/4/2026, 8:11:32 pm]
GET /api/v1/get-user-details 200 264.041 ms [7/4/2026, 8:11:32 pm]
GET /api/v1/get-user-details 200 232.838 ms [7/4/2026, 8:11:32 pm]
GET /api/v1/get-user-details 200 188.702 ms [7/4/2026, 8:11:53 pm]
GET /api/v1/get-user-details 200 159.718 ms [7/4/2026, 8:11:53 pm]
GET /api/v1/get-user-details 200 211.009 ms [7/4/2026, 8:11:53 pm]
GET /api/v1/get-user-details 200 385.392 ms [7/4/2026, 8:11:53 pm]
GET /api/v1/get-user-details 200 154.991 ms [7/4/2026, 8:11:55 pm]
GET /api/v1/get-user-details 200 155.249 ms [7/4/2026, 8:11:55 pm]
GET /api/v1/get-user-details 200 263.855 ms [7/4/2026, 8:11:55 pm]
GET /api/v1/get-user-details 200 230.044 ms [7/4/2026, 8:11:55 pm]
GET /api/v1/get-user-details 200 204.124 ms [7/4/2026, 8:11:59 pm]
GET /api/v1/get-user-details 200 162.423 ms [7/4/2026, 8:11:59 pm]
GET /api/v1/get-user-details 200 278.234 ms [7/4/2026, 8:11:59 pm]
GET /api/v1/get-user-details 200 245.763 ms [7/4/2026, 8:11:59 pm]
GET /api/v1/get-user-details 200 288.221 ms [7/4/2026, 8:15:38 pm]
GET /api/v1/get-user-details 200 258.521 ms [7/4/2026, 8:15:38 pm]
GET /api/v1/get-user-details 200 262.508 ms [7/4/2026, 8:17:59 pm]
GET /api/v1/get-user-details 200 258.918 ms [7/4/2026, 8:17:59 pm]
GET /api/v1/get-places?page=1&limit=10 500 184.956 ms [7/4/2026, 8:20:11 pm]
GET /api/v1/get-places?page=1&limit=10 500 162.599 ms [7/4/2026, 8:20:11 pm]
GET /api/v1/get-places?page=1&limit=10 500 239.664 ms [7/4/2026, 8:20:12 pm]
GET /api/v1/get-places?page=1&limit=10 500 229.353 ms [7/4/2026, 8:20:12 pm]
GET /api/v1/get-places?page=1&limit=10 500 235.574 ms [7/4/2026, 8:20:12 pm]
GET /api/v1/get-places?page=1&limit=10 500 155.963 ms [7/4/2026, 8:20:12 pm]
GET /api/v1/get-places?page=1&limit=10 500 188.279 ms [7/4/2026, 8:20:12 pm]
GET /api/v1/get-places?page=1&limit=10 500 175.145 ms [7/4/2026, 8:20:13 pm]
GET /api/v1/get-places?page=1&limit=10 500 194.734 ms [7/4/2026, 8:20:13 pm]
GET /api/v1/get-places?page=1&limit=10 500 245.382 ms [7/4/2026, 8:20:13 pm]
GET /api/v1/get-places?page=1&limit=10 500 234.985 ms [7/4/2026, 8:20:13 pm]
GET /api/v1/get-places?page=1&limit=10 500 183.794 ms [7/4/2026, 8:20:13 pm]
GET /api/v1/get-places?page=1&limit=10 500 204.718 ms [7/4/2026, 8:20:14 pm]
GET /api/v1/get-places?page=1&limit=10 500 236.847 ms [7/4/2026, 8:20:14 pm]
GET /api/v1/get-places?page=1&limit=10 500 174.642 ms [7/4/2026, 8:20:14 pm]
GET /api/v1/get-places?page=1&limit=10 500 219.603 ms [7/4/2026, 8:20:14 pm]
GET /api/v1/get-places?page=1&limit=10 500 241.174 ms [7/4/2026, 8:20:15 pm]
GET /api/v1/get-places?page=1&limit=10 500 231.719 ms [7/4/2026, 8:20:15 pm]
GET /api/v1/get-places?page=1&limit=10 500 174.548 ms [7/4/2026, 8:20:15 pm]
GET /api/v1/get-places?page=1&limit=10 500 159.258 ms [7/4/2026, 8:20:15 pm]
GET /api/v1/get-places?page=1&limit=10 500 221.291 ms [7/4/2026, 8:20:15 pm]
GET /api/v1/get-places?page=1&limit=10 500 215.850 ms [7/4/2026, 8:20:16 pm]
GET /api/v1/get-places?page=1&limit=10 500 179.224 ms [7/4/2026, 8:20:16 pm]
GET /api/v1/get-places?page=1&limit=10 500 181.452 ms [7/4/2026, 8:20:16 pm]
GET /api/v1/get-places?page=1&limit=10 500 214.740 ms [7/4/2026, 8:20:16 pm]
GET /api/v1/get-places?page=1&limit=10 500 166.964 ms [7/4/2026, 8:20:16 pm]
GET /api/v1/get-places?page=1&limit=10 500 185.231 ms [7/4/2026, 8:20:16 pm]
